id;name;surname;email;categorie;phone_number;address;postal_code;city
1;IB connecting;protocol azure fuchsia;"TOa@hotmail.fr";CLIENT;Account at;Virginia overriding drive;Toys ;West Kira
2;compressing Enterprise-wide Kansas;West transmit;"Jg@.fr";LIVREUR;synthesizi;Dynamic District Rapid;EXEXX;Creminville
3;Franc;turn-key Rustic teal;"Akwyw4@imag.fr";LIVREUR;Mews Up-si;Arkansas Brand navigate;Strat;Port Damontown
4;Customer architect transmitter;copy internet Loan;"j7@gmail.fr";CLIENT;frame Keyb;Steel;Marke;West Dario
5;blue Peso;Pound eyeballs;"SvPUt4@imag.com";COMMERCANT;holistic M;Ball;Yuan ;Lilybury
6;Regional hacking;approach;"klX@gmail.fr";CLIENT;WoodenXXXX;groupware generate;invoi;Kendall
7;Decentralized navigate Oregon;Massachusetts Gorgeous Arkansas;"7oVjy@yahoooooo.fr";LIVREUR;ParkwaysXX;Outdoors;Elect;North Jamar
8;Table Iraq;bandwidth North;"tR@imag.com";LIVREUR;Lithuania ;Agent Small;Facil;Hansstad
9;auxiliary synergies;Avenue invoice;"zeRJ-@gmail.com";COMMERCANT;quantifyin;Rubber;Accou;Brownside
10;Solutions;pixel pink;"aO@.fr";CLIENT;Hills Focu;Frozen Multi-lateral Solutions;Outdo;Port Ellashire
