id;credit_card;experation_date;type_card;amount;bill_date
1;Developer Checki;2021-04-11T02:24:56;disintermediate Tabl;fault-tolerant fuchsia;2021-04-10T20:28:58
2;Identity Factors;2021-04-11T07:36:06;Markets;redundant transmit;2021-04-11T03:03:26
3;SSL clicks-and-m;2021-04-11T12:51:35;Yemeni Multi-layered;XSS cross-platform;2021-04-10T19:23:13
4;MontserratXXXXXX;2021-04-11T05:13:11;Afghanistan;intuitive;2021-04-11T16:06:13
5;transmittingXXXX;2021-04-11T08:49:20;lavender copying int;connect;2021-04-11T00:13:22
6;SaladXXXXXXXXXXX;2021-04-11T18:20:14;Peso;transitional;2021-04-11T03:33:18
7;Tennessee paradi;2021-04-11T13:08:37;Steel;mobile secondary synthesize;2021-04-11T09:21:07
8;dynamicXXXXXXXXX;2021-04-10T23:07:06;digital Avon Garden;Incredible PNG Borders;2021-04-11T18:21:30
9;haptic KidsXXXXX;2021-04-11T10:10:28;Rustic Cambridgeshir;Clothing middleware;2021-04-10T20:34:54
10;UnbrandedXXXXXXX;2021-04-10T22:26:14;collaborative XSS fe;Dominican National relationships;2021-04-10T23:44:35
